Codigo;MCI;CNPJ;Nome;QtdCotas;TipoCota;TipoTitulo;Sistema;Carteira
2;2025;BBTF;511042034;17817528000150;BB ETF S&P DIVIDENDOS BRASIL FUNDOS DE INDICE;1;1;66
Drive;4869;BBBR;518448409;34606480000150;BB BR 518 FUNDO DE INVESTIMENTO RENDA FIXA;1;1;66
Drive;5021;BBFN;519093363;37180091000102;BB FUNDO DE FUNDOS - FUNDO DE INVESTIMENTO IMOBILIARIO;1;1;80
Drive;30001;BBGO;519987114;42592257000120;BB FUNDO DE INVESTIMENTO DE CREDITO FIAGRO-IMOBILIARIO;1;1;156
Drive;30300;AGRI;520316230;45081470000165;BB BR 777 FUNDO DE INVESTIMENTO RENDA FIXA;1;1;66
Drive;5084;CORN;520510834;46467170000181;BB ETF INDICE FUTURO DE MILHO B3 FUNDO;1;1;66
Drive;5109;BBOI;520510838;46610422000180;BB BR 802 FUNDO DE INVESTIMENTO RENDA FIXA;1;1;66
Drive;5110;FDHI;511401626;18289873000121;FUNDO DE INVESTIMENTO EM DIR. CRED. BB VOTORANTIM HIGH INFRA;3;C;C
YMF;10923;FDHI;511401626;18289873000121;FUNDO DE INVESTIMENTO EM DIR. CRED. BB VOTORANTIM HIGH INFRA;3;2;121
YMF;10920;FDHI;511401626;18289873000121;FUNDO DE INVESTIMENTO EM DIR. CRED. BB VOTORANTIM HIGH INFRA;3;3;120
YMF;10922;FDHI;511401626;18289873000121;FUNDO DE INVESTIMENTO EM DIR. CRED. BB VOTORANTIM HIGH INFRA;3;4;122
YMF;10921;BBIG;872435274;54375187000137;BB PREMIUM MALLS FUNDO DE INVESTIMENTO IMOBILIARIO;1;1;80
Drive;30002;DOLA;520603716;55620015000144;BB ETF INDICE FUTURO DE DOLAR S&P/B3 FUN;1;1;66
Drive;5221
